1,2,3,,,,,,,,kg/m3,%,,%,mg/L,KJ/kg,%,工业分析（单位%，总和=1）,,,,元素组成（单位%，所有元素加和=1）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,主要成分（%）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金属元素含量（mg/kg）数值型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多环芳烃（mg/kg),,,,,,,,,,,,,,,,酯类,,,,,,,,,,邻苯二甲酸酯类,,,,,,,,,,,,,,,,,芳香烃类,,,,,,,,,,,氯代烃,,酚类,,,,醛类,,有机酸类,,,,,,,有机酸盐类,,,,杂环,,,,,,胺类,,,,,,,,,,,,,,,农药,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,重金属毒性浸出浓度（mg/L),,,,,,,,,,,,,,,,,,,,
废物类别,行业分类,固废名称 ,别名,产生工段,表观形貌（稍微详细）,物理形态,形状,颜色,气味,密度,含水率,pH,含油率,COD,热值,烧失率,水分,灰分,挥发分,固定碳,C,H,N,O,F,Na,Mg,Al,"Si	",P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,"Cu	",Zn,As,Pb,Ag,Bi,Cd,Sn,Sb,I,Hg,Ba,Al2O3,MgO,Cl,K2O,Na2O,Fe2O3,SiO2,MnO,CaO,S,SO3,As2O3,TiO2,Cr2O3,CuO,ZnO,PbO,F,V2O5,BaO,P2O5,SnO2,NiO,NaCl（%）,KCl,MgCl2,Mg(OH)2,Al(OH)3,AlCl3,MnCl2,NH4Cl（%）,TiCl4,FeCl2,FeCl3,CaCl2,CaF2,CaSO4,CaCO3,BaO,BaSO4,BaCO3,BaSiO3,BaS,NaNO3,辉铜矿,黄铜矿,铜铁硫化相,铁橄榄石,磁铁矿,钙铁辉石,玻璃相,石膏,方解石,石英,砷铜矿,皓矾,六水锌矾,氧化锑,三氧化二砷,五氧化二砷,铅绿矾,方铅矿,铅黄,铅,密陀僧,红锌矿,闪锌矿,锌,纤锌矿,冰晶石,刚玉,β-氧化铝,钾冰晶石,铝,锥冰晶石,西蒙冰晶石,氟铝钙锂石,白砷石,三水胆矾,副雄黄,砷华,铅矾,块黑铅矿,四水锌矾,硒汞矿,尖晶石,氮化铝,方镁石,铜靛矾,CuSO4•H2O,CdSO3•0.5H2O,石盐,氟氯铅矿,铁白云石,钙铝矾,氯铅矿,T B(mg/kg),T Na(mg/kg),T Mg(mg/kg),T Al(mg/kg),T K(mg/kg),T Ca(mg/kg),T Fe,T Cu,T Pb,T Zn,T Sn,T Ni,T Co,T Sb,T Hg,T Cd,T Bi,T Cr（mg/kg）,T As,T Be,T Ba,T Pd,T Pt,T V,T Mn,T Ti,T Al3+ （mg/L）,T SO42- （g/L),CN（mg/L),F（mg/L),萘,苊烯,苊,芴,菲,蒽,荧蒽,芘,苯并（a）蒽,屈,苯并（b）荧蒽,苯并 (k)荧蒽,苯并（a）芘,"茚苯（1,2,3-cd）芘"," 二苯并（a, n）蒽",苯并（ghi）北（二萘嵌苯）,乙酸乙酯,乙酸丁酯,乙酸异戊酯,氨基甲酸乙酯,邻甲酸甲酯,邻甲基苯甲酸,丁酸丁酯,N-氰基乙酰亚胺甲酯（乙酯）,4-[3-甲基-3-(（甲亚基氨基)）苯基]丁酸乙酯,氯甲酸甲酯,邻苯二甲酸二甲酯,邻甲基苯甲酸甲酯,邻苯二甲酸二乙酯,邻苯二甲酸二异丁酯,邻苯二甲酸二正丁酯,邻苯二甲酸二(2-甲氧基)乙酯,邻苯二甲酸二(4-甲基-2-戊基)酯,邻苯二甲酸二(2-乙氧基)乙酯,邻苯二甲酸二戊酯,邻苯二甲酸二己酯,邻苯二甲酸丁基苄基酯,邻苯二甲酸二(2-丁氧基)乙酯,邻苯二甲酸二环己酯,邻苯二甲酸二（2-乙基）己酯,邻苯二甲酸二苯酯,邻苯二甲酸二正辛酯,邻苯二甲酸二壬酯,苯,甲苯,乙苯,二甲苯,对二甲苯,间二甲苯,邻二甲苯,异丙苯,苯乙烯,乙烯基甲苯,环己烷,二氯甲烷,二氯乙烷,苯酚,邻甲酚,"2,4-二氯酚（mg/L）","2,5-二氯苯酚（mg/L）",甲醛%,间苯氧基苯甲醛,甲酸%,苯氧乙酸（mg/L）,氯乙酸,羟基乙酸（mg/L),2甲4氯酸,甲酸,甘氨酸,亚磷酸钠,甲基草甘膦酸钠盐,羟甲基磷酸钠盐,"2,4-二氯苯氧乙酸钠（mg/L)",氯甲基吡啶,吡啶,2-氯-5-氯甲基吡啶,三氯吡啶醇钠,乙基氯化物,氯乙酰氯,邻苯二胺,苯肼,脲,1-苯基氨基脲,二甲胺,2-氯烟酰胺,精胺,胺醚,乙撑硫脲,邻甲基苯基硫脲,"2-氯-N-(氯甲基)-N-(2,6-二乙基苯基)乙酰胺（MRM）","N-2,6-二乙基苯基甲亚胺（甲叉）",丁草胺,4-[3-乙基-2-(甲亚基氨基)苯基]丁酰氯,"2,5-二氯苯胺","2,4-D（mg/L）",草甘膦（mg/L),增甘膦mg/L,双甘膦mg/L,西玛津mg/L,三唑磷mg/L,烟嘧磺酰氯mg/L,烟嘧磺胺mg/L,烟嘧磺隆mg/kg,毒死蜱,多菌灵mg/L,氟乐灵,丁草胺mg/L,咪鲜胺,莠去津mg/L,百草枯mg/L,苯磺隆,吡虫啉,咪唑（烷）,丙环唑,代森锰mg/L,敌百虫,啶虫脒,麦草畏,杀虫单,乙草胺,溴丙烷,四氯化碳,丙溴磷,对氯三氟甲苯,功夫酰氯,苄基三乙基氯化铵,二氯菊酰氯,4-甲基-2-肼基苯并骈噻唑,苯唑醇,二甲硫醚,硫酸二甲酯,甲醇,乙醇,辛硫磷,"O,O-二乙基硫代磷酰氯",2-氯烟酰胺,二氯甲烷,醋酸,醋酸酐,丙烯醛,丙烯腈,环戊二烯,L Ca(mg/L),L Mg（mg/L),L Fe (mg/L),L Cu,L Pb,L Zn,L Ba (mg/L),L Sn ,L Co,L Sb,L Hg,L Cd,L Bi,L Ni,L Cr （mg/L),L Ag,L As,L Mn,L Se,L Br,L V
液相反应残液,农药,戊唑醇母液,无,戊唑醇环氧合成过程回收甲醇冷凝液,水状液态废物,液态,,,,,,,,10000-1000000,,,70-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,0.1-100,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,农药,西玛津合成过程中的高盐母液,无,西玛津合成过程中的高盐母液,水状液态废物,液态,,,,,,,,10000-1000000,,,70-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,农药,辛硫磷合成过程产生的酸性废液,无,辛硫磷合成过程产生的酸性废液（含酸化废水）；辛硫磷合成母液肟钠回收产生的浓缩母液,水状液态废物,液态,,,,,,,,10000-1000000,,,70-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,0.1-100,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,农药,烟嘧磺隆母液,无,烟嘧磺胺合成氯化工段产生的高盐废水；烟嘧磺胺合成胺化工段产生的含氯化铵废水,水状液态废物,液态,,,,,,,,10000-1000000,,,70-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,1-100,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,农药,乙草胺母液,无,甲叉法生产乙草胺过程中乙草胺合成水洗母液；甲叉法生产乙草胺过程中乙草胺合成水洗母液多效蒸发浓缩母液,水状液态废物,液态,,,,,,,,10000-1000000,,,70-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,农药,乙酰甲胺磷合成过程中和反应产物萃取母液,无,精胺合成过程粗胺合成母液萃取回收精胺产生的萃取母液；乙酰甲胺磷合成过程中和反应产物萃取母液,水状液态废物,液态,,,,,,,,10000-1000000,,,70-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,农药,异丙甲草胺酰化过程中产生的含盐母液,无,异丙甲草胺酰化过程中产生的含盐母液,水状液态废物,液态,,,,,,,,10000-1000000,,,70-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,农药,莠灭净生产过程中莠去津合成过程中产生的高盐母液,无,莠去津合成过程中的高盐母液,水状液态废物,液态,,,,,,,,10000-1000000,,,70-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-58.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,农药,2-氯-18-氯甲基吡啶（CCMP）母液,无,环戊二烯路线生产CCMP过程中以三氯氧磷为原料2-氯-5-氯甲基吡啶环合水解釜产生的含磷废液,水状液态废物,液态,,,,,,,,10000-1000000,,,70-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-100,0.1-100,0.1-100,,,,,,,,,,,,,,,,,,,,,
液相反应残液,表面处理,使用锌和电镀化学品进行镀锌产生的废槽液,无,电镀槽液更换过程产生的废电镀槽液,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,表面处理,使用镉和电镀化学品进行镀镉产生的废槽液,无,电镀槽液更换过程产生的废电镀槽液,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,表面处理,使用镍和电镀化学品进行镀镍产生的废槽液,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,表面处理,使用铬和电镀化学品进行镀黑铬产生的废槽液,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液相反应残液,表面处理,使用铜和电镀化学品进行镀铜产生的废槽液,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸馏精馏,石油炼制,石油炼制过程产生的酸焦油及其他焦油,无,焦化工段产生的酸焦油及其他焦油,粘稠状液体,液态,粘稠状,黑色,,,<15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸馏精馏,煤化工,高温煤焦油,无,煤炭干馏时生成的具有刺激性臭味的黑色或黑褐色粘稠状液体,,液态,粘稠状,黑色或黑褐色,刺激性臭味,,<15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸馏精馏,煤化工,中低温煤焦油,无,煤炭干馏时生成的具有刺激性臭味的黑色或黑褐色粘稠状液体,,液态,粘稠状,黑色,,1002-1250,<15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸馏精馏,煤化工,焦油渣,无,焦油渣是炼焦生产过程中产生的粘稠状、易粘结的废渣,,固态,泥沙状,黑色,,1270-1443,<15,,,,29780-32670,,,"2,15-9.03",32-66.76,13.02-60,56.46-82.64,1.41-6.01,0.9-1.66,0.8-14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸馏精馏,煤化工,高温煤沥青,无,煤沥青产生于煤焦油的深加工过程，煤焦油蒸馏提取馏分（如轻油、酚油、萘油、洗油和蒽油等）后的残留物,色黑而有光泽，无固定的熔点，呈玻璃相，受热后软化继而熔化,固态,粘稠状,黑色,,1250-1350,<15,,,,,,,,,,92-94,4-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸馏精馏,煤化工,中低温煤沥青,无,煤沥青产生于煤焦油的深加工过程，煤焦油蒸馏提取馏分（如轻油、酚油、萘油、洗油和蒽油等）后的残留物,无固定的熔点，呈玻璃相，受热后软化继而熔化,固态,粘稠状,黑褐色,,,<15,,,,,,,,,,80-90,6-9,,4-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒸馏精馏,煤化工,煤液化残渣,无,煤液化生产工艺中的液化反应物经过急冷、热高压和中压分离、常压和减压分馏提取低沸点油份后排出的固体废物,,固态,颗粒状,黑色,,972.3-1490,<15,,,,,,,14.76-22.82,32.86-47.91,,65.85-89.86,3.55-6.86,,1.02-4.55,,,,,,,0.89-6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,有色冶炼,铜火法冶炼熔炼收尘烟灰,无,火法炼铜（如双闪工艺及双底吹连续炼铜工艺等）熔炼、吹炼、精炼工段烟气各收尘设备产生的收尘烟灰,细粉末，无粗颗粒,固态,粉末状,白色、棕色,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-5.05,4.04-8,5.92-9,29.66-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34-38,,5-9,,35-39,,,,,,,,,,,,,,10-14,,,,,,,,78355.4-78359,26180.42-26186,40859.65-49861,,19065.05-19069,,,,,,61050.17-61056,56973.63-56977,,5216.95-5220 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,有色冶炼,铜火法冶炼吹炼收尘烟灰,无,火法炼铜（如双闪工艺及双底吹连续炼铜工艺等）熔炼、吹炼、精炼工段烟气各收尘设备产生的收尘烟灰,细粉末，无粗颗粒,固态,粉末状,白色,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84-13.57,1.88-6.04,,16.32-21.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-22,,,,,,,36-40,19-33,9-13,,,,,,,,,,,,,99134.83-99138,5110.03-5114,51913.98-51917,,19386.08-19390,,,,,,59464.57-59468,5680.07-5684,,1197.86-1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收尘灰,有色冶炼,铅火法冶炼还原炉收尘烟灰,无,火法炼铅（如富氧熔炼+直接还原工艺及富氧闪速熔炼工艺等）熔炼炉、还原炉、烟化炉工段烟气各收尘设备产生的收尘烟灰,细粉末，无粗颗粒,固态,粉末状,白色,,,<2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6-12,,,,18.46-22,,54.81-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-3,,,,36-40,6-10,,,,,,,,,,,,,,,45-47,,,,,,,,,,,,,,,,,,,,,,12695.2-12699,15123.38-15127,42696.4-41700,,10938.94-10942,,,,,,34794.97-34798,3361.91-3365,,787.15-791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
